,"1 Archiving [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","2 Planned Observation Publication [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","3 Prompt Processing [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","4 Observatory Operations Data [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","5 OCS-Driven Batch [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","6 Telemetry Gateway [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","7 Alert Distribution [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","8 Prompt Quality Control [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::1 Prompt Services]","1 Batch Production [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::2 Offline Services]","2 Offline Quality Control [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::2 Offline Services]","3 Bulk Distribution [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::2 Offline Services]","1 DBB Ingest/Metadata Management [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::3 Backbone Services]","2 DBB Lifetime Management [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::3 Backbone Services]","3 DBB Transport/Replication/Backup [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::3 Backbone Services]","4 DBB Storage [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::3 Backbone Services]","2 LSP Portal [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::4 LSP Services]","3 LSP JupyterLab [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::4 LSP Services]","4 LSP Web API [Problem/Logical::DM Subsystem Structure::2 Components::1 Services::4 LSP Services]","Alert Distribution SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","EFD Transformation [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","Header Service SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","Image Ingest and Processing [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","Observatory Operations Data Service SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","OCS Batch SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","Planned Observation Publication SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::1 Prompt SW Products]","Campaign Management [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::2 Batch Production Products]","Workload/Workflow [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::2 Batch Production Products]","3 Quality Control SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::3 Quality Control Products]","DBB Ingest/Metadata Management SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::4 Backbone SW Products]","DBB Lifetime Management SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::4 Backbone SW Products]","DBB Transport/Replication/Backup SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::4 Backbone SW Products]","1 LSP Portal and SUIT [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::5 LSP SW Products]","2 LSP JupyterLab SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::5 LSP SW Products]","3 LSP Web API SW [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::5 LSP SW Products]","1 Alert Production [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","2 MOPS and Forced Photometry [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","3 Raw Calibration Validation [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","4 Daily Calibration Update [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","5 Periodic Calibration [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","6 Special Programs Productions [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","7 Template Generation [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","8 Annual Calibration [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","9 Data Release Production [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::6 Science Pipeline SW Products]","1 Science Pipelines Libraries [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","2 Data Butler [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","3 Task Framework [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","4 Distributed Database [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","5 ADQL Translator [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","6 Firefly [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","7 Image/Cutout Server [Problem/Logical::DM Subsystem Structure::2 Components::2 Software Products::7 Supporting SW Products]","1 Summit to Base Network [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::1 Networks]","2 Base to Archive Network [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::1 Networks]","3 Base LAN Network [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::1 Networks]","4 NCSA LAN Network [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::1 Networks]","5 Network Management [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::1 Networks]","Base Facility [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::2 Facilities]","NCSA Facility [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::2 Facilities]","Archive Base Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","Archive NCSA Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","Commissioning Cluster Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","DAC Chile Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","DAC US Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","Offline Production Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","Prompt Base Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]","Prompt NCSA Enclave [Problem/Logical::DM Subsystem Structure::2 Components::3 Infrastructure::3 Enclaves]"
"DMS-REQ-0328 05 Documenting Image Characterization [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products::02 Processed Visit Images]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-"
"DMS-REQ-0097 14 Level 1 Data Quality Report Definition [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,"<-",,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-","<-"
"DMS-REQ-0099 15 Level 1 Performance Report Definition [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]","<-",,"<-",,,,,"<-",,,,,,,,,,,,,,"<-",,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-","<-"
"DMS-REQ-0101 16 Level 1 Calibration Report Definition [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,"<-",,,"<-",,,,,,,,,,,,,,,,"<-",,,,"<-",,,,,,,,,"<-","<-",,,,,,,,,,,,,,,,,,,,,,,,,,"<-","<-"
"DMS-REQ-0266 04 Exposure Catalog [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,"<-",,,,,,,,,"<-",,,,,,,,"<-",,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0269 05 DIASource Catalog [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,"<-",,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0270 06 Faint DIASource Measurements [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0271 08 DIAObject Catalog [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,"<-",,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0272 DIAObject Attributes [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products::08 DIAObject Catalog]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0273 09 SSObject Catalog [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,"<-",,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0274 13 Alert Content [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0317 11 DIAForcedSource Catalog [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,"<-",,,,,,"<-","<-",,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,"<-"
"DMS-REQ-0319 07 Characterizing Variability [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-"
"DMS-REQ-0323 10 Calculating SSObject Parameters [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,"<-",,,,,,,,,,,,,"<-","<-",,,
"DMS-REQ-0324 12 Matching DIASources to Objects [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,"<-","<-",,,,,,,,,,,,,,,,,,,,,,,"<-","<-",,"<-","<-",,,
"DMS-REQ-0325 17 Regenerating L1 Data Products During Data Release Processing [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,"<-",,
"DMS-REQ-0353 18 Publishing predicted visit schedule [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::3 Level 1 Data Products]",,"<-",,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",
"DMS-REQ-0034 04 Associate Sources to Objects [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::4 Level 2 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,"<-",,
"DMS-REQ-0047 13 Provide PSF for Coadded Images [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::4 Level 2 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,"<-",,
"DMS-REQ-0103 18 Produce Images for EPO [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::4 Level 2 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,,,,,,"<-",,
"DMS-REQ-0106 14 Coadded Image Provenance [Requirements::System Requirements::LSE-61 Data Management System (DMS) Requirements::1 Data Products::4 Level 2 Data Products]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<-",,,,,,,,,,,,,,,"<-","<-",,,,"<-",,
